year,state,population,total_demand,centers_req,base_centers,new_centers_needed
2023,Andaman And nicobar islands,1643209,554499,92,92,0
2024,Andaman And nicobar islands,1658410,559629,92,92,0
2025,Andaman And nicobar islands,1673747,564805,93,92,1
2026,Andaman And nicobar islands,1689227,570030,93,92,1
2027,Andaman And nicobar islands,1704851,575302,93,92,1
2028,Andaman And nicobar islands,1720620,580624,95,92,3
2023,Andhra Pradesh,130731119,40302480,6795,6795,0
2024,Andhra Pradesh,131823020,40639104,6842,6795,47
2025,Andhra Pradesh,132924050,40978529,6885,6795,90
2026,Andhra Pradesh,134034255,41320800,6947,6795,152
2027,Andhra Pradesh,135153767,41665907,6997,6795,202
2028,Andhra Pradesh,136282574,42013925,7041,6795,246
2023,Arunachal Pradesh,5573188,1848716,306,306,0
2024,Arunachal Pradesh,5626802,1866503,308,306,2
2025,Arunachal Pradesh,5680926,1884454,312,306,6
2026,Arunachal Pradesh,5735576,1902584,316,306,10
2027,Arunachal Pradesh,5790748,1920890,318,306,12
2028,Arunachal Pradesh,5846454,1939362,320,306,14
2023,Assam,64555782,13940819,2452,2452,0
2024,Assam,65399396,14123007,2466,2452,14
2025,Assam,66254031,14307558,2491,2452,39
2026,Assam,67119839,14494528,2515,2452,63
2027,Assam,67996955,14683932,2541,2452,89
2028,Assam,68885532,14875817,2572,2452,120
2023,Bihar,91828161,35998435,5949,5949,0
2024,Bihar,93577515,36684220,6069,5949,120
2025,Bihar,95360195,37383070,6170,5949,221
2026,Bihar,97176821,38095213,6280,5949,331
2027,Bihar,99028081,38820943,6385,5949,436
2028,Bihar,100914597,39560497,6487,5949,538
2023,Chandigarh,2752946,928543,157,157,0
2024,Chandigarh,2779375,937459,159,157,2
2025,Chandigarh,2806054,946453,159,157,2
2026,Chandigarh,2832990,955545,160,157,3
2027,Chandigarh,2860187,964718,161,157,4
2028,Chandigarh,2887646,973977,164,157,7
2023,Dadra And nagar haveli,655208,220597,36,36,0
2024,Dadra And nagar haveli,661116,222587,36,36,0
2025,Dadra And nagar haveli,667078,224594,37,36,1
2026,Dadra And nagar haveli,673095,226620,37,36,1
2027,Dadra And nagar haveli,679165,228663,37,36,1
2028,Dadra And nagar haveli,685290,230726,37,36,1
2023,Daman And diu,531290,179054,31,31,0
2024,Daman And diu,536015,180645,31,31,0
2025,Daman And diu,540782,182252,31,31,0
